x,cf
3.24121572e-07,0.0508017801
1.34691686e-06,0.0507269651
3.14910153e-06,0.0509612262
5.8186065e-06,0.0511179827
9.45110696e-06,0.0512596443
1.41506271e-05,0.0513859577
2.00303039e-05,0.0515079424
2.721276e-05,0.0516264103
3.58310899e-05,0.0517432317
4.60293413e-05,0.0518587902
5.79639964e-05,0.0519741103
7.18032752e-05,0.0520908199
8.77298007e-05,0.0522099994
0.000105940409,0.0523326471
0.000126647312,0.0524544008
0.000150078617,0.0525556356
0.000176479371,0.0526077226
0.00020611404,0.0525983796
0.000239265923,0.0525408722
0.000276236009,0.0524532124
0.000317351078,0.0523475185
0.000362954306,0.0522344261
0.000413415401,0.0521205701
0.000469128456,0.0520144179
0.000530506426,0.0519187488
0.000597992272,0.0518006496
0.000672056107,0.051603891
0.000753189321,0.0513043702
0.000841910252,0.0509265885
0.000938764249,0.0505084805
0.00104432483,0.0500764735
0.00115919311,0.0496453121
0.00128399394,0.0492084809
0.00141937786,0.0487189777
0.00156602089,0.0481255837
0.00172462303,0.0474361517
0.00189590838,0.0467002913
0.00208062329,0.0459576026
0.00227953563,0.0452163443
0.00249343412,0.0444400609
0.00272312714,0.0435815491
0.0029694417,0.0426481627
0.00323322206,0.0416897871
0.0035153199,0.0407398082
0.00381660578,0.0397846475
0.00413796725,0.0387854874
0.00448030792,0.0377383642
0.00484455004,0.0366810821
0.00523163425,0.0356416106
0.00564248534,0.0346059687
0.00607803417,0.0335493982
0.00653926237,0.0324840806
0.00702717761,0.0314400606
0.00754278665,0.0304182507
0.00808703434,0.0294002108
0.00866097771,0.0283902958
0.00926571991,0.0274084937
0.00990227982,0.0264497735
0.0105717229,0.0255128611
0.0112751601,0.024601534
0.0120138349,0.0237142146
0.0127887176,0.0228625853
0.0136010973,0.0220360719
0.0144522013,0.0212318283
0.0153432582,0.0204614364
0.0162755176,0.0197204351
0.0172502697,0.0190076437
0.0182688572,0.0183251109
0.0193326455,0.0176712777
0.0204430372,0.0170437284
0.0216014758,0.0164433271
0.0228094384,0.0158694945
0.0240684338,0.0153204286
0.0253799986,0.0147967124
0.0267457161,0.0142970681
0.0281672385,0.0138193434
0.0296462029,0.0133637749
0.0311843343,0.0129293762
0.032783363,0.0125146359
0.0344450846,0.0121190585
0.0361713134,0.0117417127
0.0379639119,0.0113815805
0.0398247875,0.011037888
0.0417558774,0.0107097281
0.0437591523,0.0103963744
0.0458366312,0.010097078
0.0479903556,0.0098110009
0.0502224118,0.00953747239
0.0525349155,0.00927576702
0.0549300052,0.00902528316
0.0574098565,0.00878539402
0.0599766709,0.00855549052
0.062632665,0.00833504181
0.0653800964,0.00812347978
0.0682212189,0.00792030618
0.0711583123,0.00772504741
0.0741936639,0.00753725041
0.0773295835,0.00735648721
0.0805683583,0.00718235271
0.0839123055,0.00701446692
0.0873637125,0.00685246708
0.0909248739,0.0066960142
0.0945980549,0.00654478697
0.0983855128,0.00639848271
0.102289476,0.00625681784
0.106312126,0.00611952553
0.110455617,0.00598635431
0.114722066,0.00585706811
0.119113512,0.00573144294
0.123631962,0.00560927019
0.128279328,0.00549035612
0.13305746,0.00537451403
0.137968123,0.0052615758
0.143012986,0.00515138544
0.148193613,0.0050437958
0.153511465,0.00493866811
0.158967853,0.00483586779
0.164564013,0.00473527797
0.170301005,0.00463678641
0.176179737,0.0045403
0.182200968,0.00444571953
0.18836531,0.00435295142
0.194673181,0.00426192814
0.201124802,0.00417256821
0.20772022,0.00408480642
0.21445927,0.00399858737
0.221341595,0.00391384168
0.228366569,0.00383053115
0.235533416,0.00374861853
0.242841065,0.00366803003
0.250288218,0.00358873699
0.257873356,0.00351073802
0.265594661,0.00343396375
0.273450136,0.00335837784
0.281437457,0.00328401732
0.28955403,0.00321083097
0.297797114,0.00313875009
0.306163549,0.00306774653
0.314649999,0.0029978028
0.323252827,0.00292898365
0.331968218,0.00286127487
0.340792,0.00279456913
0.349719793,0.00272885547
0.358746976,0.00266417488
0.367868692,0.00260050711
0.377079785,0.0025377986
0.38637501,0.00247603655
0.395748764,0.0024152298
0.405195385,0.00235536043
0.414708883,0.0022963942
0.424283206,0.00223831111
0.433912069,0.00218110508
0.443589091,0.00212476053
0.453307748,0.00206925161
0.463061392,0.00201455364
0.472843319,0.00196064892
0.482646674,0.00190752128
0.492464602,0.00185515056
0.502290249,0.00180351094
0.512116611,0.00175257819
0.521936834,0.00170233415
0.531743944,0.0016527616
0.541531146,0.00160383771
0.551291585,0.00155553862
0.561018586,0.00150784617
0.570705414,0.00146074488
0.580345631,0.0014142174
0.589932799,0.00136824616
0.599460602,0.00132281706
0.608923078,0.00127791951
0.618314207,0.00123354385
0.627628267,0.00118968228
0.636859715,0.00114632968
0.646003306,0.00110348407
0.655053854,0.00106114603
0.664006591,0.00101931975
0.672856748,0.000978011987
0.681600094,0.000937232224
0.690232456,0.000896993326
0.698749959,0.000857311592
0.707148969,0.000818205997
0.715426207,0.000779697846
0.723578513,0.000741811004
0.731603146,0.000704571954
0.739497542,0.000668008928
0.747259438,0.000632151612
0.754886746,0.000597030856
0.762377739,0.000562678091
0.769730926,0.000529124984
0.776944935,0.000496403314
0.784018815,0.000464543933
0.790951788,0.000433576526
0.797743201,0.000403529062
0.804392755,0.000374427764
0.810900211,0.000346296438
0.817265809,0.000319156243
0.823489606,0.000293025543
0.829572141,0.000267919502
0.835514009,0.000243850372
0.841315985,0.000220827947
0.846979022,0.000198860987
0.852504134,0.000177960304
0.857892573,0.00015814272
0.863145709,0.000139433323
0.868265033,0.000121862373
0.873252034,0.00010545423
0.878108442,9.02117754e-05
0.882836044,7.61035262e-05
0.887436628,6.30618088e-05
0.891912222,5.09931233e-05
0.896264732,3.97950826e-05
0.900496244,2.93723824e-05
0.904608965,1.96456058e-05
0.90860492,1.0552656e-05
0.912486374,2.04546154e-06
0.916255534,-5.9148465e-06
0.919914663,-1.33617305e-05
0.923466027,-2.03255004e-05
0.92691201,-2.68343229e-05
0.930254817,-3.29146278e-05
0.933496773,-3.85912717e-05
0.936640203,-4.38876668e-05
0.939687431,-4.88258847e-05
0.942640722,-5.34267383e-05
0.9455024,-5.77097708e-05
0.948274672,-6.16932157e-05
0.950959921,-6.53937677e-05
0.953560233,-6.88262662e-05
0.956077933,-7.20031967e-05
0.958515167,-7.49340106e-05
0.960874081,-7.76244342e-05
0.963156819,-8.00757771e-05
0.965365529,-8.22846414e-05
0.967502177,-8.42435402e-05
0.969568849,-8.59430584e-05
0.971567571,-8.73766621e-05
0.973500192,-8.85493355e-05
0.975368798,-8.94914701e-05
0.977175176,-9.02795582e-05
0.978921115,-9.10650342e-05
0.980608523,-9.2113085e-05
0.982239187,-9.38526355e-05
0.983814716,-9.6939606e-05
0.9853369,-0.000102332488
0.986807346,-0.00011138343
0.988227665,-0.000125918683
0.989599407,-0.000148322069
0.99092412,-0.000181391355
0.992203355,-0.000228163641
0.993438482,-0.000289991469
0.994630933,-0.000365842279
0.995782077,-0.00043892648
0.996893287,-0.000482616044
0.997965813,-0.000339383463
0.999000967,0.00347995572
