x/c,cp
0.9483,0.1295
0.9,0.069
0.8503,0.0309
0.7998,-0.007
0.7497,-0.0352
0.7003,-0.0704
0.6502,-0.1081
0.5997,-0.1264
0.5506,-0.1609
0.5,-0.1821
0.4503,-0.21
0.4,-0.2398
0.3507,-0.2736
0.3002,-0.2979
0.2501,-0.3347
0.2004,-0.3566
0.1504,-0.3791
0.1,-0.3781
0.0755,-0.3534
0.051,-0.3091
0.0251,-0.1633
0.0122,0.0474
0.0,1.0593
0.0135,0.0651
0.0271,-0.1417
0.0515,-0.274
0.0763,-0.3278
0.1012,-0.3567
0.1503,-0.3466
0.1994,-0.3391
0.2501,-0.3189
0.2999,-0.2904
0.3499,-0.2646
0.3994,-0.2324
0.4496,-0.2061
0.4997,-0.1751
0.5492,-0.1496
0.5994,-0.1195
0.6495,-0.0977
0.6996,-0.0674
0.7489,-0.035
0.8003,-0.0028
0.85,0.0339
0.8993,0.0792
0.9489,0.1249
