x,cp
1.0,0.20018
0.999,0.18288
0.99797,0.1832
0.99689,0.18157
0.99578,0.17942
0.99463,0.17688
0.99344,0.17436
0.9922,0.1719
0.99092,0.16953
0.9896,0.16724
0.98823,0.16503
0.98681,0.16289
0.98534,0.16081
0.98381,0.15878
0.98224,0.1568
0.98061,0.15485
0.97892,0.15294
0.97718,0.15107
0.97537,0.14924
0.9735,0.14744
0.97157,0.14567
0.96957,0.14394
0.9675,0.14223
0.96537,0.14056
0.96316,0.13892
0.96087,0.1373
0.95852,0.13573
0.95608,0.13417
0.95356,0.13265
0.95096,0.13116
0.94827,0.12971
0.9455,0.12828
0.94264,0.12689
0.93969,0.12553
0.93664,0.1242
0.9335,0.1229
0.93025,0.12164
0.92691,0.12041
0.92347,0.11922
0.91991,0.11806
0.91626,0.11694
0.91249,0.11586
0.9086,0.11481
0.90461,0.11381
0.9005,0.11284
0.89626,0.11192
0.89191,0.11103
0.88744,0.11019
0.88284,0.10939
0.87811,0.10864
0.87325,0.10793
0.86827,0.10726
0.86315,0.10664
0.85789,0.10607
0.8525,0.10554
0.84698,0.10506
0.84132,0.10464
0.83551,0.10426
0.82957,0.10393
0.82349,0.10366
0.81727,0.10343
0.8109,0.10326
0.80439,0.10315
0.79774,0.10308
0.79095,0.10308
0.78402,0.10313
0.77694,0.10323
0.76973,0.10339
0.76238,0.10361
0.75489,0.10389
0.74726,0.10423
0.7395,0.10462
0.7316,0.10508
0.72358,0.1056
0.71543,0.10619
0.70715,0.10683
0.69875,0.10754
0.69023,0.10832
0.6816,0.10917
0.67286,0.11009
0.66401,0.11107
0.65505,0.11213
0.646,0.11327
0.63686,0.11448
0.62763,0.11577
0.61831,0.11715
0.60892,0.11861
0.59946,0.12015
0.58993,0.12179
0.58035,0.12352
0.57071,0.12536
0.56102,0.12729
0.55129,0.12933
0.54153,0.13148
0.53174,0.13375
0.52194,0.13613
0.51212,0.13865
0.50229,0.14129
0.49246,0.14407
0.48265,0.14699
0.47284,0.15006
0.46306,0.15329
0.45331,0.15667
0.44359,0.16022
0.43391,0.16395
0.42428,0.16785
0.41471,0.17194
0.4052,0.17622
0.39575,0.1807
0.38638,0.18538
0.37708,0.19027
0.36787,0.19538
0.35875,0.20071
0.34972,0.20628
0.34079,0.21207
0.33197,0.21811
0.32325,0.22439
0.31465,0.23091
0.30616,0.23769
0.2978,0.24474
0.28955,0.25204
0.28144,0.2596
0.27345,0.26744
0.26559,0.27554
0.25787,0.28392
0.25029,0.29258
0.24284,0.30151
0.23553,0.31072
0.22837,0.3202
0.22134,0.32997
0.21446,0.34001
0.20772,0.35033
0.20112,0.36094
0.19467,0.37181
0.18837,0.38295
0.1822,0.39437
0.17618,0.40605
0.1703,0.418
0.16456,0.4302
0.15897,0.44266
0.15351,0.45537
0.14819,0.46832
0.14301,0.48152
0.13797,0.49494
0.13306,0.50859
0.12828,0.52245
0.12363,0.53652
0.11911,0.55079
0.11472,0.56525
0.11046,0.57988
0.10631,0.59469
0.10229,0.60964
0.098386,0.62473
0.094598,0.63995
0.090925,0.65528
0.087364,0.67069
0.083912,0.68619
0.080568,0.70174
0.07733,0.71731
0.074194,0.73291
0.071158,0.74848
0.068221,0.76403
0.06538,0.7795
0.062633,0.79488
0.059977,0.81013
0.05741,0.82522
0.05493,0.8401
0.052535,0.85474
0.050222,0.8691
