x,cp
0.04799,0.8831
0.045837,0.89672
0.043759,0.90989
0.041756,0.92254
0.039825,0.93461
0.037964,0.94604
0.036171,0.95674
0.034445,0.96663
0.032783,0.97563
0.031184,0.98365
0.029646,0.99057
0.028167,0.99631
0.026746,1.0007
0.02538,1.0037
0.024068,1.0052
0.022809,1.005
0.021601,1.0029
0.020443,0.9989
0.019333,0.99277
0.018269,0.98436
0.01725,0.97351
0.016276,0.96005
0.015343,0.94382
0.014452,0.92464
0.013601,0.90234
0.012789,0.87675
0.012014,0.84773
0.011275,0.81502
0.010572,0.77861
0.0099023,0.73827
0.0092657,0.69382
0.008661,0.64528
0.008087,0.59247
0.0075428,0.53533
0.0070272,0.47382
0.0065393,0.40795
0.006078,0.33771
0.0056425,0.26316
0.0052316,0.18438
0.0048446,0.10151
0.0044803,0.014699
0.004138,-0.075842
0.0038166,-0.1699
0.0035153,-0.2672
0.0032332,-0.36744
0.0029694,-0.47031
0.0027231,-0.57546
0.0024934,-0.68251
0.0022795,-0.79111
0.0020806,-0.90087
0.0018959,-1.0114
0.0017246,-1.1223
0.001566,-1.2332
0.0014194,-1.3438
0.001284,-1.4537
0.0011592,-1.5626
0.0010443,-1.6702
0.00093876,-1.7763
0.00084191,-1.8805
0.00075319,-1.9826
0.00067206,-2.0826
0.00059799,-2.1803
0.00053051,-2.2754
0.00046913,-2.368
0.00041342,-2.4579
0.00036295,-2.5451
0.00031735,-2.6295
0.00027624,-2.7111
0.00023927,-2.7899
0.00020611,-2.8659
0.00017648,-2.9391
0.00015008,-3.0097
0.00012665,-3.0776
0.00010594,-3.143
8.773e-05,-3.2059
7.1803e-05,-3.2664
5.7964e-05,-3.3244
4.6029e-05,-3.3802
3.5831e-05,-3.4338
2.7213e-05,-3.4851
2.003e-05,-3.5345
1.4151e-05,-3.5818
9.4511e-06,-3.6273
5.8186e-06,-3.6711
3.1491e-06,-3.7129
1.3469e-06,-3.7512
3.2412e-07,-3.7822
0.0,-3.8301
3.2412e-07,-3.875
1.3469e-06,-3.9052
3.1491e-06,-3.9448
5.8186e-06,-3.9855
9.4511e-06,-4.0281
1.4151e-05,-4.072
2.003e-05,-4.1172
2.7213e-05,-4.1637
3.5831e-05,-4.2115
4.6029e-05,-4.2607
5.7964e-05,-4.311
7.1803e-05,-4.3626
8.773e-05,-4.4154
0.00010594,-4.4692
0.00012665,-4.5239
0.00015008,-4.5797
0.00017648,-4.6364
0.00020611,-4.6939
0.00023927,-4.752
0.00027624,-4.8106
0.00031735,-4.8694
0.00036295,-4.9282
0.00041342,-4.9868
0.00046913,-5.0448
0.00053051,-5.1021
0.00059799,-5.1584
0.00067206,-5.2135
0.00075319,-5.2672
0.00084191,-5.319
0.00093876,-5.3686
0.0010443,-5.4155
0.0011592,-5.4592
0.001284,-5.4995
0.0014194,-5.5362
0.001566,-5.5689
0.0017246,-5.5974
0.0018959,-5.6211
0.0020806,-5.6398
0.0022795,-5.6532
0.0024934,-5.6613
0.0027231,-5.6638
0.0029694,-5.6608
0.0032332,-5.6519
0.0035153,-5.6372
0.0038166,-5.6168
0.004138,-5.5908
0.0044803,-5.5594
0.0048446,-5.5226
0.0052316,-5.4806
0.0056425,-5.4338
0.006078,-5.3825
0.0065393,-5.3269
0.0070272,-5.2674
0.0075428,-5.2043
0.008087,-5.138
0.008661,-5.0687
0.0092657,-4.9969
0.0099023,-4.9232
0.010572,-4.8468
0.011275,-4.7698
0.012014,-4.6913
0.012789,-4.6114
0.013601,-4.5317
0.014452,-4.451
0.015343,-4.3701
0.016276,-4.2892
0.01725,-4.2087
0.018269,-4.1285
0.019333,-4.0489
0.020443,-3.9699
0.021601,-3.8918
0.022809,-3.8146
0.024068,-3.7383
0.02538,-3.6631
0.026746,-3.5891
0.028167,-3.5162
0.029646,-3.4446
0.031184,-3.3742
0.032783,-3.3052
0.034445,-3.2374
0.036171,-3.171
0.037964,-3.1059
0.039825,-3.0421
0.041756,-2.9797
0.043759,-2.9185
0.045837,-2.8587
0.04799,-2.8002
0.050222,-2.7429
0.052535,-2.6868
0.05493,-2.632
0.05741,-2.5784
0.059977,-2.526
0.062633,-2.4747
0.06538,-2.4246
0.068221,-2.3755
0.071158,-2.3275
0.074194,-2.2806
0.07733,-2.2347
0.080568,-2.1897
0.083912,-2.1458
0.087364,-2.1027
0.090925,-2.0606
0.094598,-2.0193
0.098386,-1.9789
0.10229,-1.9392
0.10631,-1.9004
0.11046,-1.8624
0.11472,-1.8251
0.11911,-1.7885
0.12363,-1.7527
0.12828,-1.7174
0.13306,-1.6829
0.13797,-1.649
0.14301,-1.6157
0.14819,-1.583
0.15351,-1.5508
0.15897,-1.5192
0.16456,-1.4882
0.1703,-1.4576
0.17618,-1.4276
0.1822,-1.398
0.18837,-1.369
0.19467,-1.3404
0.20112,-1.3122
0.20772,-1.2845
0.21446,-1.2572
0.22134,-1.2303
0.22837,-1.2038
0.23553,-1.1777
0.24284,-1.152
0.25029,-1.1266
0.25787,-1.1017
0.26559,-1.0771
0.27345,-1.0528
0.28144,-1.0289
0.28955,-1.0054
0.2978,-0.98221
0.30616,-0.95936
0.31465,-0.93684
0.32325,-0.91465
0.33197,-0.89279
0.34079,-0.87126
0.34972,-0.85005
0.35875,-0.82917
0.36787,-0.8086
0.37708,-0.78835
0.38638,-0.76842
0.39575,-0.7488
0.4052,-0.7295
0.41471,-0.7105
0.42428,-0.69182
0.43391,-0.67344
0.44359,-0.65536
0.45331,-0.63758
0.46306,-0.6201
0.47284,-0.60292
0.48265,-0.58603
0.49246,-0.56943
0.50229,-0.55312
0.51212,-0.53709
0.52194,-0.52134
0.53174,-0.50586
0.54153,-0.49066
0.55129,-0.47573
0.56102,-0.46105
0.57071,-0.44664
0.58035,-0.43247
0.58993,-0.41855
0.59946,-0.40488
0.60892,-0.39144
0.61831,-0.37823
0.62763,-0.36525
0.63686,-0.35249
0.646,-0.33995
0.65505,-0.32761
0.66401,-0.31548
0.67286,-0.30355
0.6816,-0.29182
0.69023,-0.28027
0.69875,-0.2689
0.70715,-0.25772
0.71543,-0.2467
0.72358,-0.23586
0.7316,-0.22518
0.7395,-0.21467
0.74726,-0.20431
0.75489,-0.1941
0.76238,-0.18405
0.76973,-0.17414
0.77694,-0.16437
0.78402,-0.15475
0.79095,-0.14527
0.79774,-0.13592
0.80439,-0.12672
0.8109,-0.11764
0.81727,-0.1087
0.82349,-0.099891
0.82957,-0.091212
0.83551,-0.082666
0.84132,-0.074258
0.84698,-0.065977
0.8525,-0.057828
0.85789,-0.049812
0.86315,-0.041928
0.86827,-0.034182
0.87325,-0.026569
0.87811,-0.019093
0.88284,-0.011755
0.88744,-0.0045549
0.89191,0.0025076
0.89626,0.009427
0.9005,0.016203
0.90461,0.022842
0.9086,0.029332
0.91249,0.035685
0.91626,0.041889
0.91991,0.04795
0.92347,0.053868
0.92691,0.059638
0.93025,0.065265
0.9335,0.070748
0.93664,0.076089
0.93969,0.081286
0.94264,0.086341
0.9455,0.091252
0.94827,0.096031
0.95096,0.10067
0.95356,0.10517
0.95608,0.10954
0.95852,0.11377
0.96087,0.11788
0.96316,0.12185
0.96537,0.12571
0.9675,0.12944
0.96957,0.13305
0.97157,0.13655
0.9735,0.13993
0.97537,0.1432
0.97718,0.14637
0.97892,0.14944
0.98061,0.15241
0.98224,0.15529
0.98381,0.15809
0.98534,0.16081
0.98681,0.16345
0.98823,0.16602
0.9896,0.16851
0.99092,0.17091
0.9922,0.17319
0.99344,0.17535
0.99463,0.17725
0.99578,0.17909
0.99689,0.17989
0.99797,0.1816
0.999,0.17606
1.0,0.19359
