x/c,cp
0.9483,0.0769
0.9,0.0591
0.8503,0.0904
0.7998,0.1027
0.7497,0.1199
0.7003,0.1397
0.6502,0.1612
0.5997,0.18
0.5506,0.1913
0.5,0.227
0.4503,0.2372
0.4,0.2774
0.3507,0.3155
0.3002,0.3586
0.2501,0.4368
0.2004,0.5185
0.1504,0.6214
0.1,0.7971
0.0755,0.88
0.051,1.0054
0.0251,1.0296
0.0122,0.7393
0.0,-5.8153
0.0135,-6.4597
0.0271,-4.2582
0.0515,-3.22
0.0763,-2.622
0.1012,-2.271
0.1503,-1.7264
0.1994,-1.4306
0.2501,-1.1843
0.2999,-0.9787
0.3499,-0.8619
0.3994,-0.7367
0.4496,-0.6374
0.4997,-0.5194
0.5492,-0.4446
0.5994,-0.3623
0.6495,-0.2907
0.6996,-0.2363
0.7489,-0.1862
0.8003,-0.1372
0.85,-0.0831
0.8993,-0.0601
0.9489,-0.0016
