x,y
1.0,0.0
0.99999889521,-1.5674435683e-07
0.99999549819,-6.3870103436e-07
0.99999208753,-1.1225912059e-06
0.99998866317,-1.6084226197e-06
0.99998522506,-2.0962030552e-06
0.99998177314,-2.5859403229e-06
0.99997830736,-3.0776422642e-06
0.99997482766,-3.5713167524e-06
0.99997133398,-4.0669716919e-06
0.99996782628,-4.5646150188e-06
0.99996430448,-5.064254701e-06
0.99996076855,-5.5658987383e-06
0.99995721841,-6.0695551621e-06
0.99995365401,-6.5752320365e-06
0.9999500753,-7.0829374573e-06
0.99994648222,-7.5926795531e-06
0.99994287471,-8.1044664846e-06
0.99993925271,-8.6183064455e-06
0.99993561616,-9.134207662e-06
0.99993196501,-9.6521783934e-06
0.9999282992,-1.0172226932e-05
0.99992461866,-1.0694361602e-05
0.99992092334,-1.1218590764e-05
0.99991721318,-1.1744922808e-05
0.99991348813,-1.2273366162e-05
0.99990974811,-1.2803929282e-05
0.99990599307,-1.3336620664e-05
0.99990222295,-1.3871448834e-05
0.99989843769,-1.4408422352e-05
0.99989463723,-1.4947549815e-05
0.9998908215,-1.5488839852e-05
0.99988699045,-1.6032301127e-05
0.99988314402,-1.6577942339e-05
0.99987928213,-1.7125772221e-05
0.99987540474,-1.7675799543e-05
0.99987151178,-1.8228033106e-05
0.99986760318,-1.8782481751e-05
0.99986367888,-1.9339154351e-05
0.99985973883,-1.9898059815e-05
0.99985578295,-2.045920709e-05
0.99985181118,-2.1022605154e-05
0.99984782346,-2.1588263026e-05
0.99984381973,-2.2156189757e-05
0.99983979992,-2.2726394438e-05
0.99983576397,-2.3298886192e-05
0.9998317118,-2.3873674183e-05
0.99982764336,-2.4450767607e-05
0.99982355859,-2.50301757e-05
0.99981945741,-2.5611907734e-05
0.99981533975,-2.6195973018e-05
0.99981120556,-2.6782380899e-05
0.99980705477,-2.7371140759e-05
0.99980288731,-2.796226202e-05
0.99979870311,-2.855575414e-05
0.99979450211,-2.9151626615e-05
0.99979028423,-2.9749888981e-05
0.99978604942,-3.035055081e-05
0.9997817976,-3.0953621711e-05
0.9997775287,-3.1559111335e-05
0.99977324266,-3.216702937e-05
0.99976893941,-3.277738554e-05
0.99976461887,-3.3390189612e-05
0.99976028099,-3.4005451389e-05
0.99975592568,-3.4623180715e-05
0.99975155288,-3.5243387473e-05
0.99974716252,-3.5866081585e-05
0.99974275453,-3.6491273012e-05
0.99973832883,-3.7118971756e-05
0.99973388536,-3.7749187859e-05
0.99972942404,-3.8381931402e-05
0.99972494481,-3.9017212507e-05
0.99972044759,-3.9655041335e-05
0.99971593231,-4.0295428091e-05
0.99971139889,-4.0938383018e-05
0.99970684727,-4.1583916399e-05
0.99970227737,-4.2232038562e-05
0.99969768912,-4.2882759871e-05
0.99969308243,-4.3536090736e-05
0.99968845725,-4.4192041607e-05
0.9996838135,-4.4850622974e-05
0.99967915109,-4.5511845372e-05
0.99967446996,-4.6175719375e-05
0.99966977003,-4.6842255601e-05
0.99966505122,-4.751146471e-05
0.99966031346,-4.8183357406e-05
0.99965555668,-4.8857944432e-05
0.99965078079,-4.9535236577e-05
0.99964598572,-5.0215244673e-05
0.9996411714,-5.0897979594e-05
0.99963633774,-5.1583452258e-05
0.99963148466,-5.2271673626e-05
0.9996266121,-5.2962654703e-05
0.99962171997,-5.3656406539e-05
0.99961680819,-5.4352940228e-05
0.99961187669,-5.5052266906e-05
0.99960692538,-5.5754397755e-05
0.99960195418,-5.6459344003e-05
0.99959696302,-5.716711692e-05
0.99959195182,-5.7877727823e-05
0.99958692049,-5.8591188073e-05
0.99958186896,-5.9307509078e-05
0.99957679713,-6.002670229e-05
0.99957170494,-6.0748779207e-05
0.9995665923,-6.1473751373e-05
0.99956145912,-6.2201630378e-05
0.99955630533,-6.2932427858e-05
0.99955113085,-6.3666155496e-05
0.99954593558,-6.4402825022e-05
0.99954071944,-6.5142448211e-05
0.99953548236,-6.5885036887e-05
