x/c,cp
0.9483,0.0387
0.9,0.0344
0.8503,0.0664
0.7998,0.0858
0.7497,0.0858
0.7003,0.0951
0.6502,0.114
0.5997,0.1406
0.5506,0.1713
0.5,0.1913
0.4503,0.2224
0.4,0.2627
0.3507,0.2937
0.3002,0.3524
0.2501,0.4143
0.2004,0.5022
0.1504,0.6154
0.1,0.7725
0.0755,0.8735
0.051,0.9969
0.0251,1.0243
0.0122,0.7207
0.0,-6.1832
0.0135,-6.1194
0.0271,-4.6049
0.0515,-3.4534
0.0763,-2.7887
0.1012,-2.3478
0.1503,-1.8016
0.1994,-1.5215
0.2501,-1.2613
0.2999,-1.0857
0.3499,-0.9416
0.3994,-0.8016
0.4496,-0.6928
0.4997,-0.6011
0.5492,-0.5035
0.5994,-0.4391
0.6495,-0.3626
0.6996,-0.3142
0.7489,-0.2485
0.8003,-0.1822
0.85,-0.1241
0.8993,-0.0723
0.9489,-0.0353
