x/c,cp
0.9483,0.1147
0.9,0.0684
0.8503,0.0882
0.7998,0.0849
0.7497,0.0782
0.7003,0.0739
0.6502,0.0685
0.5997,0.0813
0.5506,0.0884
0.5,0.094
0.4503,0.1125
0.4,0.1225
0.3507,0.1488
0.3002,0.1893
0.2501,0.2292
0.2004,0.2973
0.1504,0.39
0.1,0.5435
0.0755,0.6563
0.051,0.8031
0.0251,1.0081
0.0122,1.0241
0.0,-2.6598
0.0135,-3.9314
0.0271,-3.1386
0.0515,-2.4889
0.0763,-2.0671
0.1012,-1.8066
0.1503,-1.4381
0.1994,-1.2297
0.2501,-1.0638
0.2999,-0.93
0.3499,-0.8094
0.3994,-0.7131
0.4496,-0.6182
0.4997,-0.5374
0.5492,-0.4563
0.5994,-0.3921
0.6495,-0.3247
0.6996,-0.2636
0.7489,-0.1964
0.8003,-0.1318
0.85,-0.0613
0.8993,-0.0021
0.9489,0.0795
