x,cp
0.0032332,-10.737
0.0035153,-10.638
0.0038166,-10.529
0.004138,-10.412
0.0044803,-10.285
0.0048446,-10.15
0.0052316,-10.008
0.0056425,-9.8586
0.006078,-9.7031
0.0065393,-9.5422
0.0070272,-9.3764
0.0075428,-9.2067
0.008087,-9.0336
0.008661,-8.8578
0.0092657,-8.6802
0.0099023,-8.5016
0.010572,-8.3212
0.011275,-8.1418
0.012014,-7.9625
0.012789,-7.7834
0.013601,-7.6066
0.014452,-7.4307
0.015343,-7.2568
0.016276,-7.0851
0.01725,-6.916
0.018269,-6.7496
0.019333,-6.5862
0.020443,-6.4258
0.021601,-6.2685
0.022809,-6.1145
0.024068,-5.9638
0.02538,-5.8165
0.026746,-5.6726
0.028167,-5.5321
0.029646,-5.3951
0.031184,-5.2614
0.032783,-5.1311
0.034445,-5.0041
0.036171,-4.8804
0.037964,-4.76
0.039825,-4.6427
0.041756,-4.5285
0.043759,-4.4174
0.045837,-4.3092
0.04799,-4.2039
0.050222,-4.1015
0.052535,-4.0018
0.05493,-3.9048
0.05741,-3.8105
0.059977,-3.7186
0.062633,-3.6292
0.06538,-3.5421
0.068221,-3.4574
0.071158,-3.3749
0.074194,-3.2945
0.07733,-3.2163
0.080568,-3.14
0.083912,-3.0658
0.087364,-2.9934
0.090925,-2.9228
0.094598,-2.854
0.098386,-2.7869
0.10229,-2.7215
0.10631,-2.6576
0.11046,-2.5953
0.11472,-2.5345
0.11911,-2.4751
0.12363,-2.417
0.12828,-2.3604
0.13306,-2.305
0.13797,-2.2509
0.14301,-2.1979
0.14819,-2.1462
0.15351,-2.0955
0.15897,-2.046
0.16456,-1.9975
0.1703,-1.9501
0.17618,-1.9036
0.1822,-1.8581
0.18837,-1.8135
0.19467,-1.7698
0.20112,-1.727
0.20772,-1.6851
0.21446,-1.6439
0.22134,-1.6036
0.22837,-1.5641
0.23553,-1.5253
0.24284,-1.4872
0.25029,-1.4499
0.25787,-1.4133
0.26559,-1.3774
0.27345,-1.3421
0.28144,-1.3075
0.28955,-1.2736
0.2978,-1.2402
0.30616,-1.2075
0.31465,-1.1754
0.32325,-1.1439
0.33197,-1.113
0.34079,-1.0827
0.34972,-1.0529
0.35875,-1.0237
0.36787,-0.99507
0.37708,-0.96695
0.38638,-0.93936
0.39575,-0.9123
0.4052,-0.88575
0.41471,-0.85971
0.42428,-0.83417
0.43391,-0.80911
0.44359,-0.78454
0.45331,-0.76045
0.46306,-0.73683
0.47284,-0.71367
0.48265,-0.69096
0.49246,-0.6687
0.50229,-0.64688
0.51212,-0.62548
0.52194,-0.60451
0.53174,-0.58395
0.54153,-0.56381
0.55129,-0.54406
0.56102,-0.52472
0.57071,-0.50575
0.58035,-0.48717
0.58993,-0.46897
0.59946,-0.45113
0.60892,-0.43366
0.61831,-0.41654
0.62763,-0.39978
0.63686,-0.38336
0.646,-0.3673
0.65505,-0.35157
0.66401,-0.33617
0.67286,-0.32112
0.6816,-0.30639
0.69023,-0.292
0.69875,-0.27793
0.70715,-0.2642
0.71543,-0.25079
0.72358,-0.23771
0.7316,-0.22495
0.7395,-0.21252
0.74726,-0.20043
0.75489,-0.18866
0.76238,-0.17722
0.76973,-0.16611
0.77694,-0.15534
0.78402,-0.14489
0.79095,-0.13477
0.79774,-0.12498
0.80439,-0.11553
0.8109,-0.1064
0.81727,-0.097596
0.82349,-0.089119
0.82957,-0.080965
0.83551,-0.073129
0.84132,-0.065601
0.84698,-0.05839
0.8525,-0.051476
0.85789,-0.044864
0.86315,-0.038543
0.86827,-0.032503
0.87325,-0.026744
0.87811,-0.02125
0.88284,-0.016026
0.88744,-0.011045
0.89191,-0.0063192
0.89626,-0.0018211
0.9005,0.002444
0.90461,0.0064918
0.9086,0.010333
0.91249,0.013968
0.91626,0.017417
0.91991,0.02068
0.92347,0.023769
0.92691,0.026694
0.93025,0.029459
0.9335,0.032077
0.93664,0.034551
0.93969,0.036898
0.94264,0.039113
0.9455,0.041211
0.94827,0.043198
0.95096,0.045079
0.95356,0.046859
0.95608,0.048544
0.95852,0.050144
0.96087,0.051664
0.96316,0.053105
0.96537,0.054472
0.9675,0.055776
0.96957,0.057015
0.97157,0.058192
0.9735,0.059315
0.97537,0.060385
0.97718,0.061402
0.97892,0.062367
0.98061,0.063288
0.98224,0.064157
0.98381,0.064984
0.98534,0.065768
0.98681,0.06651
0.98823,0.067214
0.9896,0.067887
0.99092,0.068534
0.9922,0.069148
0.99344,0.0698
0.99463,0.070324
0.99578,0.071225
0.99689,0.070928
0.99797,0.074187
0.999,0.063325
1.0,0.075787
