x,cp
1.0,0.25146
0.999,0.22974
0.99797,0.2287
0.99689,0.22402
0.99578,0.21918
0.99463,0.21389
0.99344,0.20878
0.9922,0.20384
0.99092,0.19908
0.9896,0.19444
0.98823,0.18989
0.98681,0.18541
0.98534,0.18098
0.98381,0.17657
0.98224,0.17219
0.98061,0.16782
0.97892,0.16346
0.97718,0.1591
0.97537,0.15474
0.9735,0.15037
0.97157,0.14601
0.96957,0.14163
0.9675,0.13725
0.96537,0.13286
0.96316,0.12847
0.96087,0.12406
0.95852,0.11965
0.95608,0.11522
0.95356,0.11079
0.95096,0.10635
0.94827,0.1019
0.9455,0.097435
0.94264,0.092969
0.93969,0.088497
0.93664,0.084015
0.9335,0.079527
0.93025,0.07504
0.92691,0.070542
0.92347,0.066038
0.91991,0.061535
0.91626,0.057026
0.91249,0.052512
0.9086,0.047998
0.90461,0.043478
0.9005,0.038954
0.89626,0.034429
0.89191,0.029905
0.88744,0.025375
0.88284,0.020845
0.87811,0.016304
0.87325,0.011769
0.86827,0.0072282
0.86315,0.0026824
0.85789,-0.0018687
0.8525,-0.0064199
0.84698,-0.010982
0.84132,-0.015543
0.83551,-0.020116
0.82957,-0.024693
0.82349,-0.029276
0.81727,-0.03387
0.8109,-0.038474
0.80439,-0.043089
0.79774,-0.047714
0.79095,-0.052355
0.78402,-0.057012
0.77694,-0.06168
0.76973,-0.066369
0.76238,-0.071074
0.75489,-0.075794
0.74726,-0.080542
0.7395,-0.08531
0.7316,-0.090105
0.72358,-0.094921
0.71543,-0.099769
0.70715,-0.10464
0.69875,-0.10955
0.69023,-0.11448
0.6816,-0.11945
0.67286,-0.12445
0.66401,-0.12949
0.65505,-0.13456
0.646,-0.13967
0.63686,-0.14482
0.62763,-0.15
0.61831,-0.15522
0.60892,-0.16049
0.59946,-0.16578
0.58993,-0.17112
0.58035,-0.17649
0.57071,-0.1819
0.56102,-0.18735
0.55129,-0.19283
0.54153,-0.19834
0.53174,-0.20387
0.52194,-0.20944
0.51212,-0.21503
0.50229,-0.22064
0.49246,-0.22627
0.48265,-0.23191
0.47284,-0.23756
0.46306,-0.24322
0.45331,-0.24888
0.44359,-0.25454
0.43391,-0.26018
0.42428,-0.26581
0.41471,-0.27143
0.4052,-0.27701
0.39575,-0.28257
0.38638,-0.28809
0.37708,-0.29356
0.36787,-0.29898
0.35875,-0.30435
0.34972,-0.30965
0.34079,-0.31488
0.33197,-0.32004
0.32325,-0.32511
0.31465,-0.3301
0.30616,-0.33499
0.2978,-0.33978
0.28955,-0.34446
0.28144,-0.34902
0.27345,-0.35347
0.26559,-0.3578
0.25787,-0.362
0.25029,-0.36606
0.24284,-0.36998
0.23553,-0.37376
0.22837,-0.37739
0.22134,-0.38087
0.21446,-0.38419
0.20772,-0.38735
0.20112,-0.39034
0.19467,-0.39317
